source_database,source_file,record_type,title,abstract,journal,year,authors,doi,pmid,accession_number,query_id
wos,WoS-queryA1.ris,JOUR,Assessing Health-Related Quality of Life (HRQOL) in survivors of cardiac arrest: a systematic review of patient-reported outcome measures,,QUALITY OF LIFE RESEARCH,2017,"Haywood, K; Pearson, N; Morrison, LJ; Castrén, M; Lilja, G; Perkins, G",,,WOS:000432071000215,A
wos,WoS-queryA1.ris,JOUR,Sex Differences in Patient-Reported Outcomes in the Immediate Recovery Period After Resuscitation: Findings From the Cross-sectional DenHeart Survey,"BackgroundA paucity of resuscitation studies have examined sex differences in patient-reported outcomes upon hospital discharge. It remains unclear whether male and female patients differ in health outcomes in their immediate responses to trauma and treatment after resuscitation.ObjectivesThe aim of this study was to examine sex differences in patient-reported outcomes in the immediate recovery period after resuscitation.MethodsIn a national cross-sectional survey, patient-reported outcomes were measured by 5 instruments: symptoms of anxiety and depression (Hospital Anxiety and Depression Scale), illness perception (Brief Illness Perception Questionnaire [B-IPQ]), symptom burden (Edmonton Symptom Assessment Scale [ESAS]), quality of life (Heart Quality of Life Questionnaire), and perceived health status (12-Item Short Form Survey).ResultsOf 491 eligible survivors of cardiac arrest, 176 (80% male) participated. Compared with male, resuscitated female reported worse symptoms of anxiety (Hospital Anxiety and Depression Scale-Anxiety score >= 8) (43% vs 23%; P = .04), emotional responses (B-IPQ) (mean [SD], 4.9 [3.12] vs 3.7 [2.99]; P = .05), identity (B-IPQ) (mean [SD], 4.3 [3.10] vs 4.0 [2.85]; P = .04), fatigue (ESAS) (mean [SD], 5.26 [2.48] vs 3.92 [2.93]; P = .01), and depressive symptoms (ESAS) (mean [SD], 2.60 [2.68] vs 1.67 [2.19]; P = .05).ConclusionsBetween sexes, female survivors of cardiac arrest reported worse psychological distress and illness perception and higher symptom burden in the immediate recovery period after resuscitation. Attention should focus on early symptom screening at hospital discharge to identify those in need of targeted psychological support and rehabilitation.",JOURNAL OF CARDIOVASCULAR NURSING,2023,"Wagner, MK; Christensen, AV; Hassager, C; Stenbaek, DS; Ekholm, O; Borregaard, B; Thrysoee, L; Rasmussen, TB; Thorup, CB; Mols, RE; Juel, K; Berg, SK",10.1097/JCN.0000000000000914,,WOS:000965386600013,A
wos,WoS-queryA1.ris,JOUR,Preliminary Exploration of Long-Term Patient Outcomes After Tracheostomy in Burns: A Burn Model System Study,"Introduction: Upper airway management is crucial to burn care. Endotracheal intubation is often performed in the setting of inhalation injury, burns of the face and neck, or large burns requiring significant resuscitation. Tracheostomy may be necessary in patients requiring prolonged ventilatory support. This study compares long-term, patient-reported outcomes in burn patients with and without tracheostomy.Materials and methods: Data from the Burn Model System Database, collected from 2013 to 2020, were analyzed. Demographic and clinical data were compared between those with and without tracheostomy. The following patient-reported outcomes, collected at 6-, 12-, and 24-mo follow-up, were analyzed: Veterans RAND 12-Item Health Survey (VR-12), Satisfaction with Life, Community Integration Questionnaire, PatientReported Outcomes Measurement Information System 29-Item Profile Measure, employment status, and days to return to work. Regression models and propensitymatched analyses were used to assess the associations between tracheostomy and each outcome.Results: Of 714 patients included in this study, 5.5% received a tracheostomy. Mixed model regression analyses demonstrated that only VR-12 Physical Component Summary scores at 24-mo follow-up were significantly worse among those requiring tracheostomy. Tracheostomy was not associated with VR-12 Mental Component Summary, Satisfaction with Life, Community Integration Questionnaire, or Patient-Reported Outcomes Measurement Information System 29-Item Profile Measure scores. Likewise, tracheostomy was not found to be independently associated with employment status or days to return to work.Conclusions: This preliminary exploration suggests that physical and psychosocial recovery, as well as the ability to regain employment, are no worse in burn patients requiring tracheostomy. Future investigations of larger scale are still needed to assess center- and provider-level influences, as well as the influences of various hallmarks of injury severity. Nonetheless, this work should better inform goals of care discussions with patients and families regarding the use of tracheostomy in burn injury.Published by Elsevier Inc.",JOURNAL OF SURGICAL RESEARCH,2023,"Galicia, KE; Mehta, A; Kowalske, KJ; Gibran, NS; Stewart, BT; McMullen, K; Wolf, SE; Ryan, CM; Kubasiak, J; Schneider, JC",10.1016/j.jss.2023.06.005,,WOS:001045100500001,A
wos,WoS-queryA1.ris,JOUR,Patient-Reported Outcomes Following Severe Abdominal Trauma: A Secondary Analysis of the Damage Control Laparotomy Trial,"Introduction: Little is known about patient-reported outcomes (PROs) following abdominal trauma. We hypothesized that patients undergoing definitive laparotomy (DEF) would have better PROs compared to those treated with damage control laparotomy (DCL). Methods: The DCL Trial randomized DEF versus DCL in abdominal trauma. PROs were measured using the European Quality of Life-5 Dimensions-5 Levels (EQ-5D) questionnaire at discharge and six months postdischarge (1 = perfect health, 0 = death, and <0 = worse than death) and Posttraumatic Stress Disorder (PTSD) Checklist-Civilian. Unadjusted Bayesian analysis with a neutral prior was used to assess the posterior probability of achieving minimal clinically important difference. Results: Of 39 randomized patients (21 DEF versus 18 DCL), 8 patients died (7 DEF versus 1 DCL). Of those who survived, 28 completed the EQ-5D at discharge (12 DEF versus 16 DCL) and 25 at 6 mo (12 DEF versus 13 DCL). Most patients were male (79%) with a median age of 30 (interquartile range (IQR) 21-42), suffered blunt injury (56%), and were severely injured (median injury severity score 33, IQR 21 - 42). Median EQ-5D value at discharge was 0.20 (IQR 0.06 - 0.52) DEF versus 0.31 (IQR -0.03 - 0.43) DCL, and at six months 0.51 (IQR 0.30 0.74) DEF versus 0.50 (IQR 0.28 - 0.84) DCL. The posterior probability of minimal clinically important difference DEF versus DCL at discharge and six months was 16% and 23%, respectively.",JOURNAL OF SURGICAL RESEARCH,2024,"Dodwad, SJM; Isbell, KD; Mueck, KM; Klugh, JM; Meyer, DE; Wade, CE; Kao, LS; Harvin, JA",10.1016/j.jss.2023.06.042,,WOS:001339418700001,A
wos,WoS-queryA1.ris,JOUR,Significantly increased risk of all-cause mortality among cardiac patients feeling lonely,"Objective To explore whether living alone and loneliness 1) are associated with poor patient-reported outcomes at hospital discharge and 2) predict cardiac events and mortality 1 year after hospital discharge in women and men with ischaemic heart disease, arrhythmia, heart failure or heart valve disease. Methods A national cross-sectional survey including patients with known cardiac disease at hospital discharge combined with national register data at baseline and 1-year follow-up. Loneliness was evaluated using one self-reported question, and information on cohabitation was available from national registers. Patient-reported outcomes were Short Form-12, Hospital Anxiety and Depression Scale and HeartQoL. Clinical outcomes were 1-year cardiac events (myocardial infarction, stroke, cardiac arrest, ventricular tachycardia/fibrillation) and all-cause mortality from national registers. Results A total of 13 443 patients (53%) with ischaemic heart disease, arrhythmia, heart failure or heart valve disease completed the survey. Of these, 70% were male, and mean age was 66.1 among women and 64.9 among men. Across cardiac diagnoses, loneliness was associated with significantly poorer patient-reported outcomes in men and women. Loneliness predicted all-cause mortality among women and men (HR 2.92 (95% CI 1.55 to 5.49) and HR 2.14 (95% CI 1.43 to 3.22), respectively). Living alone predicted cardiac events in men only (HR 1.39 (95% CI 1.05 to 1.85)). Conclusions A strong association between loneliness and poor patient-reported outcomes and 1-year mortality was found in both men and women across cardiac diagnoses. The results suggest that loneliness should be a priority for public health initiatives, and should also be included in clinical risk assessment in cardiac patients.",HEART,2020,"Christensen, AV; Juel, K; Ekholm, O; Thrysoe, L; Thorup, CB; Borregaard, B; Mols, RE; Rasmussen, TB; Berg, SK",10.1136/heartjnl-2019-315460,,WOS:000507619400014,A
wos,WoS-queryA1.ris,JOUR,"Is frailty associated with long-term survival, neurological function and patient-reported outcomes after in-hospital cardiac arrest? - A Swedish cohort study","Background: Frailty is associated with poor 30-days survival after in-hospital cardiac arrests (IHCA). The aim was to assess how pre-arrest frailty was associated with long-term survival, neurological function and patient-reported outcomes in elderly survivors after IHCA.Methods: Patients aged >= 65 years with IHCA at Karolinska University Hospital between 2013-2021 were studied. Frailty was assessed by the Clinical Frailty Scale (CFS) based on clinical records and categorised into non-frail (1-4) or frail (5-7). Survival was assessed in days. Neurological function was assessed by the Cerebral Performance Category scale (CPC). A telephone interview was performed six months post-IHCA and included the questionnaires EuroQoL-5 Dimensions-5 Levels and Hospital Anxiety and Depression Scale.Results: Totally, 232 (28%) out of 817 eligible patients survived to 30-days. Out of 232, 65 (28%) were frail. Long-term survival was better for non-frail than frail patients (6 months (92% versus 75%, p-value < 0.01), 3 years (74% vs 22%, p-value < 0.01)). The vast majority of both non-frail and frail patients had unchanged CPC from admittance to discharge from hospital (87% and 85%, respectively, p-value 0.52). The 121 non-frail patients reported better health compared to 27 frail patients (EQ-VAS median 70 versus 50 points, p-value < 0.01) and less symptoms of depression than frail (16% and 52%, respectively, p-value < 0.01).Conclusion: Frail patients suffering IHCA survived with the same neurological function they had at admittance. Although one in five frail patients survived to three years, frailty was associated with a marked decrease in long-term survival as well as increased symptoms of depression and poorer general health.",RESUSCITATION,2022,"Jonsson, H; Piscator, E; Israelsson, J; Lilja, G; Djaerv, T",10.1016/j.resuscitation.2022.07.013,,WOS:000880404500011,A
wos,WoS-queryA1.ris,JOUR,Assessing health-related quality of life (HRQoL) in survivors of out-of-hospital cardiac arrest: A systematic review of patient-reported outcome measures,Aim: High quality evidence of out-of-hospital cardiac arrest (OHCA) survivors' health-related quality of life (HRQoL) can measure the long-term impact of CA. The aim of this study was to critically appraise the evidence of psychometric quality and acceptability of measures used in the assessment of HRQoL in cardiac arrest survivors.,RESUSCITATION,2018,"Haywood, KL; Pearson, N; Morrison, LJ; Castrén, M; Lilja, G; Perkins, GD",10.1016/j.resuscitation.2017.11.065,,WOS:000419222600011,A
wos,WoS-queryA1.ris,JOUR,An international collaborative study to co-produce a patient-reported outcome measure of cardiac arrest survivorship and health-related quality of life (CASHQoL): A protocol for developing the long-form measure,"Background: Current measures of health-related quality of life are neither sufficiently sensitive or specific to capture the complex and heterogenous nature of the recovery and survivorship associated with cardiac arrest. To address this critical practice gap, we plan a mixed-methods study to co-produce and evaluate a new cardiac arrest-specific patient/survivor-reported outcome measure (PROM). Methods: International guidelines have informed a two-stage, iterative, and interactive process. Stage one will establish what is important to measure following cardiac arrest. A meta-ethnography of published qualitative research and a qualitative exploration of the experiences of survivors and their key supporters will inform the development of a measurement framework. This will be supple-mented by existing, extensive reviews describing concepts that have previously been measured in this population. Focus groups with survivors, key supporters, and healthcare professionals, followed by further interviews with survivors and key supporters, will inform the iterative refinement of the framework, candidate items, and PROM structure. Stage two will involve a psychometric evaluation following completion by a large cohort of survivors. Measurement theory will inform: the identifica-tion of items that best measure important outcomes; item reduction; and provide robust evidence of measurement and practical properties.Discussion: An international, collaborative approach to PROM development will engage survivors, key supporters, researchers, and health pro-fessionals from study commencement. Successful co-production of the cardiac arrest survivorship and health-related quality of life (CASHQoL) mea-sure will provide a robust, relevant, and internationally applicable measure, suitable for completion by adult survivors, and integration into research, registries, and routine care settings.Ethical approval: University of Warwick Biomedical & Scientific Research Ethics Committee (BSREC 22/20-21 granted 10/11/20).",RESUSCITATION PLUS,2022,"Haywood, KL; Southern, C; Tutton, E; Swindell, P; Ellard, D; Pearson, NA; Parsons, H; Couper, K; Dainty, KN; Agarwal, S; Perkins, G",10.1016/j.resplu.2022.100288,,WOS:000850959900001,A
wos,WoS-queryA1.ris,JOUR,Risk Factors of Cage Subsidence in Patients Received Minimally Invasive Transforaminal Lumbar Interbody Fusion,Study Design. A retrospective cohort study.,SPINE,2020,"Yao, YC; Chou, PH; Lin, HH; Wang, ST; Liu, CL; Chang, MC",10.1097/BRS.0000000000003557,,WOS:000619510700009,A
wos,WoS-queryA1.ris,JOUR,How do survivors after out-of-hospital cardiac arrest perceive their health compared to the norm population? A nationwide registry study from Norway,"Introduction: Self-perceived health status data is usually collected using patient-reported outcome measures. Information from the patients' perspective is one of the important components in planning person-centred care. The study aimed to compare EQ-5D-5L in survivors after out -ofhospital cardiac arrest (OHCA) with data for Norwegian population controls. Secondary aim included comparing characteristics of respondents and non-respondents from the OHCA population. Methods: In this cross-sectional survey, 714 OHCA survivors received an electronic EQ-5D-5L questionnaire 3-6 months following OHCA. EQ-5D5L assesses for five dimensions of health (mobility, self-care, usual activities, pain/discomfort, and anxiety/depression) with five-point descriptive scales and overall health on a visual analogue scale from 0 (worst) to 100 (best) (EQ VAS). Results are used to calculate the EQ index ranging from -0.59 (worst) to 1 (best). Patient responses were matched for age and sex with existing data from controls, collected through a postal survey (response rate 26%), and compared with Chi-square tests or t-tests as appropriate. Results: Of 784 OHCA survivors, 714 received the EQ-5D-5L, and 445 (62%) responded. Respondents had higher rates of shockable first rhythm and better cerebral performance category scores than the non-respondents. OHCA survivors reported poorer health compared to controls as assessed by EQ-5D-5L dimensions, the EQ index (0.76 +/- 0.24 vs 0.82 +/- 0.18), and EQ VAS (69 +/- 21 vs 79 +/- 17), except for the pain/discomfort dimension. Conclusions: Norwegian OHCA survivors reported poorer health than the general population as assessed by the EQ-5D-5L. PROMs use in this population can be used to inform follow-up and health care delivery.",RESUSCITATION PLUS,2024,"Alm-Kruse, K; Gjerset, GM; Tjelmeland, IBM; Isern, CB; Kramer-Johansen, J; Garratt, AM",10.1016/j.resplu.2023.100549,,WOS:001155288300001,A
